County,Date,EarlyVoting,Absentee,Day Total
Anderson,10/14/2020,2050,1305,3355
Anderson,10/15/2020,2073,199,2272
Anderson,10/16/2020,2232,172,2404
Anderson,10/17/2020,823,73,896
Anderson,10/19/2020,2155,217,2372
Anderson,10/20/2020,1984,160,2144
Anderson,10/21/2020,1812,158,1970
Anderson,10/22/2020,1745,116,1861
Anderson,10/23/2020,1846,92,1938
Anderson,10/24/2020,821,96,917
Anderson,10/26/2020,1770,92,1862
Anderson,10/27/2020,1585,129,1714
Anderson,10/28/2020,1546,71,1617
Anderson,10/29/2020,1784,61,1845
Bedford,10/14/2020,1333,457,1790
Bedford,10/15/2020,1163,25,1188
Bedford,10/16/2020,1313,4,1317
Bedford,10/17/2020,538,0,538
Bedford,10/19/2020,1259,57,1316
Bedford,10/20/2020,1157,26,1183
Bedford,10/21/2020,969,36,1005
Bedford,10/22/2020,842,13,855
Bedford,10/23/2020,939,30,969
Bedford,10/24/2020,507,0,507
Bedford,10/26/2020,863,55,918
Bedford,10/27/2020,869,17,886
Bedford,10/28/2020,851,12,863
Bedford,10/29/2020,1104,0,1104
Benton,10/14/2020,534,217,751
Benton,10/15/2020,510,27,537
Benton,10/16/2020,528,0,528
Benton,10/17/2020,227,0,227
Benton,10/19/2020,497,0,497
Benton,10/20/2020,459,54,513
Benton,10/21/2020,421,7,428
Benton,10/22/2020,331,17,348
Benton,10/23/2020,379,21,400
Benton,10/24/2020,154,1,155
Benton,10/26/2020,273,2,275
Benton,10/27/2020,238,21,259
Benton,10/28/2020,224,3,227
Benton,10/29/2020,307,17,324
Bledsoe,10/14/2020,271,150,421
Bledsoe,10/15/2020,126,12,138
Bledsoe,10/16/2020,158,14,172
Bledsoe,10/17/2020,122,0,122
Bledsoe,10/19/2020,162,12,174
Bledsoe,10/20/2020,221,17,238
Bledsoe,10/21/2020,114,7,121
Bledsoe,10/22/2020,125,13,138
Bledsoe,10/23/2020,151,8,159
Bledsoe,10/24/2020,180,9,189
Bledsoe,10/26/2020,120,4,124
Bledsoe,10/27/2020,175,13,188
Bledsoe,10/28/2020,142,6,148
Bledsoe,10/29/2020,184,4,188
Blount,10/14/2020,3236,2789,6025
Blount,10/15/2020,3565,330,3895
Blount,10/16/2020,3696,174,3870
Blount,10/17/2020,1067,0,1067
Blount,10/19/2020,3857,391,4248
Blount,10/20/2020,3904,119,4023
Blount,10/21/2020,3858,155,4013
Blount,10/22/2020,3590,123,3713
Blount,10/23/2020,3696,135,3831
Blount,10/24/2020,1192,77,1269
Blount,10/26/2020,3661,225,3886
Blount,10/27/2020,3433,189,3622
Blount,10/28/2020,3419,140,3559
Blount,10/29/2020,3821,112,3933
Bradley,10/14/2020,2543,1004,3547
Bradley,10/15/2020,2602,90,2692
Bradley,10/16/2020,2531,53,2584
Bradley,10/17/2020,1954,0,1954
Bradley,10/19/2020,2858,239,3097
Bradley,10/20/2020,2840,106,2946
Bradley,10/21/2020,2633,81,2714
Bradley,10/22/2020,2597,79,2676
Bradley,10/23/2020,2550,144,2694
Bradley,10/24/2020,1890,0,1890
Bradley,10/26/2020,2507,115,2622
Bradley,10/27/2020,2459,100,2559
Bradley,10/28/2020,2402,131,2533
Bradley,10/29/2020,2639,99,2738
Campbell,10/14/2020,566,429,995
Campbell,10/15/2020,569,3,572
Campbell,10/16/2020,756,55,811
Campbell,10/17/2020,345,22,367
Campbell,10/19/2020,521,23,544
Campbell,10/20/2020,535,0,535
Campbell,10/21/2020,530,54,584
Campbell,10/22/2020,543,23,566
Campbell,10/23/2020,773,11,784
Campbell,10/24/2020,434,50,484
Campbell,10/26/2020,556,21,577
Campbell,10/27/2020,518,24,542
Campbell,10/28/2020,494,22,516
Campbell,10/29/2020,600,22,622
Cannon,10/14/2020,281,94,375
Cannon,10/15/2020,219,30,249
Cannon,10/16/2020,337,4,341
Cannon,10/17/2020,240,0,240
Cannon,10/19/2020,337,0,337
Cannon,10/20/2020,211,0,211
Cannon,10/21/2020,296,0,296
Cannon,10/22/2020,205,42,247
Cannon,10/23/2020,315,5,320
Cannon,10/24/2020,235,4,239
Cannon,10/26/2020,220,11,231
Cannon,10/27/2020,250,20,270
Cannon,10/28/2020,231,8,239
Cannon,10/29/2020,549,6,555
Carroll,10/14/2020,699,349,1048
Carroll,10/15/2020,716,24,740
Carroll,10/16/2020,751,2,753
Carroll,10/17/2020,377,28,405
Carroll,10/19/2020,706,26,732
Carroll,10/20/2020,621,7,628
Carroll,10/21/2020,426,33,459
Carroll,10/22/2020,444,14,458
Carroll,10/23/2020,509,13,522
Carroll,10/24/2020,363,6,369
Carroll,10/26/2020,479,30,509
Carroll,10/27/2020,398,12,410
Carroll,10/28/2020,432,10,442
Carroll,10/29/2020,550,11,561
Carter,10/14/2020,716,757,1473
Carter,10/15/2020,715,116,831
Carter,10/16/2020,752,42,794
Carter,10/17/2020,392,45,437
Carter,10/19/2020,846,91,937
Carter,10/20/2020,778,83,861
Carter,10/21/2020,819,47,866
Carter,10/22/2020,848,49,897
Carter,10/23/2020,832,47,879
Carter,10/24/2020,450,41,491
Carter,10/26/2020,843,46,889
Carter,10/27/2020,867,73,940
Carter,10/28/2020,853,64,917
Carter,10/29/2020,907,50,957
Cheatham,10/14/2020,1274,482,1756
Cheatham,10/15/2020,1710,50,1760
Cheatham,10/16/2020,1321,11,1332
Cheatham,10/17/2020,796,37,833
Cheatham,10/19/2020,1085,48,1133
Cheatham,10/20/2020,1573,32,1605
Cheatham,10/21/2020,956,46,1002
Cheatham,10/22/2020,1255,43,1298
Cheatham,10/23/2020,931,34,965
Cheatham,10/24/2020,684,32,716
Cheatham,10/26/2020,802,17,819
Cheatham,10/27/2020,1217,22,1239
Cheatham,10/28/2020,787,26,813
Cheatham,10/29/2020,1338,25,1363
Chester,10/14/2020,477,195,672
Chester,10/15/2020,606,15,621
Chester,10/16/2020,481,5,486
Chester,10/17/2020,237,7,244
Chester,10/19/2020,425,15,440
Chester,10/20/2020,485,7,492
Chester,10/21/2020,272,10,282
Chester,10/22/2020,335,9,344
Chester,10/23/2020,335,3,338
Chester,10/24/2020,215,0,215
Chester,10/26/2020,249,9,258
Chester,10/27/2020,380,0,380
Chester,10/28/2020,237,10,247
Chester,10/29/2020,434,5,439
Claiborne,10/14/2020,857,438,1295
Claiborne,10/15/2020,780,34,814
Claiborne,10/16/2020,841,17,858
Claiborne,10/17/2020,287,7,294
Claiborne,10/19/2020,754,28,782
Claiborne,10/20/2020,586,2,588
Claiborne,10/21/2020,569,42,611
Claiborne,10/22/2020,533,4,537
Claiborne,10/23/2020,597,24,621
Claiborne,10/24/2020,299,29,328
Claiborne,10/26/2020,515,6,521
Claiborne,10/27/2020,542,41,583
Claiborne,10/28/2020,454,17,471
Claiborne,10/29/2020,646,8,654
Clay,10/14/2020,216,147,363
Clay,10/15/2020,245,13,258
Clay,10/16/2020,202,3,205
Clay,10/17/2020,107,0,107
Clay,10/19/2020,192,18,210
Clay,10/20/2020,144,7,151
Clay,10/21/2020,82,0,82
Clay,10/22/2020,136,11,147
Clay,10/23/2020,152,13,165
Clay,10/24/2020,123,0,123
Clay,10/26/2020,117,14,131
Clay,10/27/2020,115,4,119
Clay,10/28/2020,123,0,123
Clay,10/29/2020,136,3,139
Cocke,10/14/2020,1024,530,1554
Cocke,10/15/2020,1070,48,1118
Cocke,10/16/2020,1005,26,1031
Cocke,10/17/2020,315,0,315
Cocke,10/19/2020,783,41,824
Cocke,10/20/2020,786,24,810
Cocke,10/21/2020,614,33,647
Cocke,10/22/2020,628,31,659
Cocke,10/23/2020,577,18,595
Cocke,10/24/2020,294,0,294
Cocke,10/26/2020,584,29,613
Cocke,10/27/2020,582,30,612
Cocke,10/28/2020,528,25,553
Cocke,10/29/2020,685,15,700
Coffee,10/14/2020,1410,651,2061
Coffee,10/15/2020,1368,0,1368
Coffee,10/16/2020,1436,74,1510
Coffee,10/17/2020,608,0,608
Coffee,10/19/2020,1339,108,1447
Coffee,10/20/2020,1333,11,1344
Coffee,10/21/2020,1203,74,1277
Coffee,10/22/2020,964,24,988
Coffee,10/23/2020,1181,0,1181
Coffee,10/24/2020,678,25,703
Coffee,10/26/2020,1027,63,1090
Coffee,10/27/2020,1050,62,1112
Coffee,10/28/2020,1118,27,1145
Coffee,10/29/2020,1282,41,1323
Crockett,10/14/2020,576,79,655
Crockett,10/15/2020,373,10,383
Crockett,10/16/2020,372,2,374
Crockett,10/17/2020,227,0,227
Crockett,10/19/2020,357,5,362
Crockett,10/20/2020,286,1,287
Crockett,10/21/2020,325,12,337
Crockett,10/22/2020,213,7,220
Crockett,10/23/2020,235,4,239
Crockett,10/24/2020,186,3,189
Crockett,10/26/2020,208,9,217
Crockett,10/27/2020,216,9,225
Crockett,10/28/2020,323,4,327
Crockett,10/29/2020,233,1,234
Cumberland,10/14/2020,1793,2028,3821
Cumberland,10/15/2020,1720,207,1927
Cumberland,10/16/2020,1733,29,1762
Cumberland,10/17/2020,738,4,742
Cumberland,10/19/2020,1796,272,2068
Cumberland,10/20/2020,1862,57,1919
Cumberland,10/21/2020,1736,144,1880
Cumberland,10/22/2020,1493,50,1543
Cumberland,10/23/2020,1467,81,1548
Cumberland,10/24/2020,629,0,629
Cumberland,10/26/2020,1405,139,1544
Cumberland,10/27/2020,1118,57,1175
Cumberland,10/28/2020,1025,49,1074
Cumberland,10/29/2020,1174,15,1189
Davidson,10/14/2020,13538,20150,33688
Davidson,10/15/2020,17524,2038,19562
Davidson,10/16/2020,15849,708,16557
Davidson,10/17/2020,13827,1,13828
Davidson,10/19/2020,15987,1396,17383
Davidson,10/20/2020,18894,550,19444
Davidson,10/21/2020,15187,1266,16453
Davidson,10/22/2020,17800,546,18346
Davidson,10/23/2020,15819,896,16715
Davidson,10/24/2020,12261,38,12299
Davidson,10/26/2020,14416,1408,15824
Davidson,10/27/2020,17757,933,18690
Davidson,10/28/2020,13767,709,14476
Davidson,10/29/2020,19107,751,19858
Decatur,10/14/2020,368,110,478
Decatur,10/15/2020,376,3,379
Decatur,10/16/2020,361,6,367
Decatur,10/17/2020,157,7,164
Decatur,10/19/2020,307,6,313
Decatur,10/20/2020,258,3,261
Decatur,10/21/2020,232,13,245
Decatur,10/22/2020,285,6,291
Decatur,10/23/2020,226,2,228
Decatur,10/24/2020,157,14,171
Decatur,10/26/2020,225,1,226
Decatur,10/27/2020,171,14,185
Decatur,10/28/2020,220,8,228
Decatur,10/29/2020,226,8,234
DeKalb,10/14/2020,287,241,528
DeKalb,10/15/2020,303,17,320
DeKalb,10/16/2020,336,4,340
DeKalb,10/17/2020,247,21,268
DeKalb,10/19/2020,346,16,362
DeKalb,10/20/2020,317,9,326
DeKalb,10/21/2020,328,28,356
DeKalb,10/22/2020,372,3,375
DeKalb,10/23/2020,403,16,419
DeKalb,10/24/2020,299,0,299
