"County","EarlyTotal","Date"
"Grainger","320","2016-10-19"
"Union","266","2016-10-19"
"Hancock","69","2016-10-19"
"Jackson","161","2016-10-19"
"DeKalb","318","2016-10-19"
"Scott","316","2016-10-19"
"Cannon","159","2016-10-19"
"Morgan","353","2016-10-19"
"Polk","211","2016-10-19"
"McMinn","1098","2016-10-19"
"Cocke","607","2016-10-19"
"Perry","131","2016-10-19"
"Haywood","315","2016-10-19"
"Unicoi","575","2016-10-19"
"Pickett","203","2016-10-19"
"Hardin","530","2016-10-19"
"Henderson","584","2016-10-19"
"Madison","2172","2016-10-19"
"Lake","97","2016-10-19"
"Decatur","299","2016-10-19"
"Claiborne","686","2016-10-19"
"Johnson","506","2016-10-19"
"Fentress","461","2016-10-19"
"Clay","159","2016-10-19"
"Weakley","710","2016-10-19"
"Wayne","332","2016-10-19"
"Smith","445","2016-10-19"
"Grundy","304","2016-10-19"
"Fayette","1139","2016-10-19"
"Rhea","641","2016-10-19"
"Hamblen","1238","2016-10-19"
"Cheatham","755","2016-10-19"
"Giles","713","2016-10-19"
"McNairy","445","2016-10-19"
"Benton","463","2016-10-19"
"Hardeman","599","2016-10-19"
"Lauderdale","640","2016-10-19"
"Franklin","928","2016-10-19"
"Henry","916","2016-10-19"
"Lincoln","723","2016-10-19"
"Stewart","528","2016-10-19"
"Sequatchie","282","2016-10-19"
"Overton","492","2016-10-19"
"Obion","863","2016-10-19"
"Monroe","1380","2016-10-19"
"Bedford","946","2016-10-19"
"Davidson","12397","2016-10-19"
"Sumner","2895","2016-10-19"
"Cumberland","1987","2016-10-19"
"Trousdale","218","2016-10-19"
"Marshall","757","2016-10-19"
"Van Buren","103","2016-10-19"
"Sullivan","4572","2016-10-19"
"Loudon","2037","2016-10-19"
"Marion","604","2016-10-19"
"White","662","2016-10-19"
"Putnam","1651","2016-10-19"
"Lawrence","703","2016-10-19"
"Humphreys","635","2016-10-19"
"Coffee","1268","2016-10-19"
"Anderson","1986","2016-10-19"
"Tipton","1681","2016-10-19"
"Sevier","1855","2016-10-19"
"Montgomery","3580","2016-10-19"
"Wilson","3459","2016-10-19"
"Crockett","374","2016-10-19"
"Houston","340","2016-10-19"
"Meigs","270","2016-10-19"
"Bledsoe","188","2016-10-19"
"Hamilton","6764","2016-10-19"
"Washington","2500","2016-10-19"
"Williamson","6745","2016-10-19"
"Campbell","621","2016-10-19"
"Greene","1066","2016-10-19"
"Macon","553","2016-10-19"
"Gibson","1001","2016-10-19"
"Dyer","911","2016-10-19"
"Warren","897","2016-10-19"
"Moore","162","2016-10-19"
"Hickman","451","2016-10-19"
"Carter","1103","2016-10-19"
"Scott","219","2016-10-20"
"Morgan","270","2016-10-20"
"Hancock","71","2016-10-20"
"Carter","876","2016-10-20"
"Jackson","170","2016-10-20"
"Union","136","2016-10-20"
"Polk","240","2016-10-20"
"Perry","120","2016-10-20"
"Grainger","414","2016-10-20"
"Cocke","553","2016-10-20"
"Clay","130","2016-10-20"
"Unicoi","451","2016-10-20"
"Lake","84","2016-10-20"
"Lewis","266","2016-10-20"
"Pickett","137","2016-10-20"
"Lewis","317","2016-10-19"
"Moore","150","2016-10-20"
"Wayne","278","2016-10-20"
"Hickman","389","2016-10-20"
"Roane","1156","2016-10-20"
"Fayette","989","2016-10-20"
"Fentress","375","2016-10-20"
"Maury","1563","2016-10-20"
"Johnson","422","2016-10-20"
"Rhea","490","2016-10-20"
"Smith","408","2016-10-20"
"Claiborne","581","2016-10-20"
"Crockett","236","2016-10-20"
"Carroll","450","2016-10-20"
"Madison","1962","2016-10-20"
"Benton","501","2016-10-20"
"Franklin","780","2016-10-20"
"Weakley","577","2016-10-20"
"Humphreys","579","2016-10-20"
"Grundy","231","2016-10-20"
"Monroe","970","2016-10-20"
"Sequatchie","266","2016-10-20"
"Van Buren","104","2016-10-20"
"Lincoln","569","2016-10-20"
"Lawrence","629","2016-10-20"
"Obion","783","2016-10-20"
"Cumberland","1455","2016-10-20"
"Hawkins","1075","2016-10-20"
"Overton","406","2016-10-20"
"Bradley","2279","2016-10-20"
"Stewart","415","2016-10-20"
"Hardeman","475","2016-10-20"
"Loudon","1301","2016-10-20"
"Decatur","282","2016-10-20"
"Chester","360","2016-10-20"
"Hardin","536","2016-10-20"
"Sullivan","3885","2016-10-20"
"Marion","443","2016-10-20"
"Anderson","1692","2016-10-20"
"Campbell","531","2016-10-20"
"Bedford","920","2016-10-20"
"Cheatham","922","2016-10-20"
"Houston","232","2016-10-20"
"Henderson","633","2016-10-20"
"Meigs","224","2016-10-20"
"Montgomery","2662","2016-10-20"
"Coffee","1126","2016-10-20"
"Trousdale","230","2016-10-20"
"Giles","570","2016-10-20"
"Sumner","2408","2016-10-20"
"Marshall","939","2016-10-20"
"Wilson","3345","2016-10-20"
"Hamblen","1115","2016-10-20"
"Tipton","1479","2016-10-20"
"White","573","2016-10-20"
"Sevier","1615","2016-10-20"
"Macon","602","2016-10-20"
"Bledsoe","92","2016-10-20"
"Henry","923","2016-10-20"
"Cannon","140","2016-10-20"
"Putnam","1687","2016-10-20"
"Rutherford","6236","2016-10-20"
"Warren","663","2016-10-20"
"Davidson","14890","2016-10-20"
"Washington","2268","2016-10-20"
"Hamilton","5083","2016-10-20"
"Dyer","850","2016-10-20"
"Lauderdale","502","2016-10-20"
"Gibson","830","2016-10-20"
"Greene","733","2016-10-20"
"Blount","2551","2016-10-20"
"Knox","11857","2016-10-19"
"McNairy","523","2016-10-20"
"Union","138","2016-10-21"
"DeKalb","146","2016-10-20"
"DeKalb","343","2016-10-21"
"Haywood","463","2016-10-20"
"Cannon","268","2016-10-21"
"Morgan","376","2016-10-21"
"Carter","916","2016-10-21"
"Hancock","82","2016-10-21"
"Jackson","181","2016-10-21"
"Perry","140","2016-10-21"
"Hardin","490","2016-10-21"
"Haywood","236","2016-10-21"
"Grainger","396","2016-10-21"
"Clay","130","2016-10-21"
"Lake","120","2016-10-21"
"Moore","110","2016-10-21"
"Hickman","454","2016-10-21"
"Pickett","112","2016-10-21"
"Henderson","605","2016-10-21"
"Cheatham","761","2016-10-21"
"Lewis","275","2016-10-21"
"Johnson","400","2016-10-21"
"Unicoi","467","2016-10-21"
"Wayne","320","2016-10-21"
"Fentress","404","2016-10-21"
"Fayette","1060","2016-10-21"
"Decatur","269","2016-10-21"
"Claiborne","590","2016-10-21"
"Maury","1565","2016-10-21"
"Monroe","918","2016-10-21"
"Giles","595","2016-10-21"
"Smith","394","2016-10-21"
"Madison","2186","2016-10-21"
"Roane","1252","2016-10-21"
"Weakley","640","2016-10-21"
"Grundy","223","2016-10-21"
"Benton","438","2016-10-21"
