,Location,Address,Latitude,Longitude
0,Abundant Grace,1574 E Shelby Dr Memphis 38116,35.02177770000001,-90.0112214
1,Anointed Temple Of Praise,3939 Riverdale Rd Memphis 38115,35.0420617,-89.8318767
2,Arlington Safe Room,11842 Otto Ln Arlington 38002,35.2848139,-89.6683595
3,Baker Community Center,7942 Church Rd Millington 38053,35.342839,-89.8965037
4,Briarwood Church,1900 N Germantown Pkwy Memphis 38016,35.1776443,-89.790309
5,Collierville C.O.C.,575 Shelton Dr Collierville 38017,35.073703,-89.68078659999999
6,Compassion Church,3505 S Houston Levee Rd Germantown 38139,35.0536302,-89.73317639999999
7,Dave Wells Community Center,915 Chelsea Ave Memphis 38107,35.166653,-90.0263653
8,Ed Rice Community Center,2935 N Watkins St  Memphis 38127,35.2056708,-90.0045567
9,Gaisman Community Center,4221 Macon Rd Memphis 38122,35.1613802,-89.9196066
10,Glenview Community Center,1141 S Barksdale St Memphis 38114,35.11501150000001,-90.0012366
11,Greater Lewis Street Church,152 E Parkway N Memphis 38104,35.1395167,-89.98188479999999
12,Greater Middle Baptist Church,4982 Knight Arnold Rd Memphis 38118,35.0626406,-89.89796120000001
13,Harmony Church,6740 St Elmo Rd Bartlett 38135,35.2291333,-89.83853289999999
14,James Meredith Building (SCOB),4523 Canada Rd Lakeland 38002,35.248815,-89.7472344
15,Lakeland I H Clubhouse,70 N Bellevue Blvd Memphis 38104,35.1412447,-90.02048669999999
16,Mississippi Blvd. Christian Church,1234 Pisgah Rd Memphis 38016,35.1590141,-89.7090844
17,Mt. Pisgah Missionary Baptist Church,60 S Parkway E Memphis 38106,35.1080336,-90.06044539999999
18,Mt. Zion Baptist Church,7786 Poplar Pike Germantown 38138,35.0814367,-89.80236029999999
19,New Bethel Baptist Church,3295 Powers Rd Memphis 38128,35.2158475,-89.9167524
20,Raleigh United Methodist Church,3560 S Third St Memphis 38109,35.0508814,-90.0607007
21,Riverside Baptist Church,4680 Walnut Grove Rd Memphis 38117,35.131999,-89.9063393
22,Second Baptist Church,James Meredith Bldg 157 Poplar Memphis 38103,35.1494478,-90.0490457
23,Solomon Temple MB Church,1460 Winchester Rd Memphis 38116,35.0545176,-90.0153029
24,TN Shakespeare,7950 Trinity Rd  Cordova  38018,35.14287729999999,-89.7982313
25,White Station C.O.C.,1106 Colonial Rd Memphis 38117,35.1016952,-89.9024462
